,TRASCONTINENTAL,,,,,,,,,,,
,CARTA DE CREDITO / BCO. SCOTIABANK,,,,,,,,,,SE ADICIONO POLIZS,
,VP. TORRENS   LLEGO :  09.05.12,,,,,,PEDIDO 049-11   09  UNIDADES  FORLAND,,,,,
,B/L  EUKOSHPU1081065,,MFTO.  2011- ,,,,,,,,,
,F/C FT11190PE,10.03.12,,,,,,,,,,
, , ,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,,MOTOR,COLOR,AÑO
,MODELO,,,,,,,,,,,FAB.
,,,,,,,,,,,,
16,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178550,004800,LVAV2JBB0CN010417,TRAVESIAS,,4DW92-73 WB329181,AZUL,2012
17,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178558,004801,LVAV2JBB1CN010457,TRAVESIAS,,4DW92-73 WB329185,BLANCO,2012
18,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178567,004802,LVAV2JBB0CN010451,TRAVESIAS,,4DW92-73 WB329220,BLANCO,2012
19,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178540,004803,LVAV2JBB6CN010423,TRAVESIAS,,4DW92-73 WB329183,ROJO,2012
20,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178549,004804,LVAV2JBB9CN010450,TRAVESIAS,,4DW92-73 WB329174,BLANCO,2012
21,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178555,004805,LVAV2JBB3CN010461,TRAVESIAS,,4DW92-73 WB329178,BLANCO,2012
22,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178563,004806,LVAV2JBB2CN010418,TRAVESIAS,,4DW92-73 WB329217,BLANCO,2012
23,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178574,004807,LVAV2JBB8CN010424,TRAVESIAS,,4DW92-73 WB329197,ROJO,2012
24,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178591,004808,LVAV2JBB1CN010426,TRAVESIAS,,4DW92-73 WB329221,ROJO,2012
25,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178561,004809,LVAV2JBB8CN010486,TRAVESIAS,,4DW92-73 WB329214,BLANCO,2012
26,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178568,004810,LVAV2JBB4CN010453,TRAVESIAS,,4DW92-73 WB329201,BLANCO,2012
27,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178583,004811,LVAV2JBB2CN010452,TRAVESIAS,,4DW92-73 WB329184,BLANCO,2012
28,BJ1039V4JD3-SA,FORLAND,CAMION,INCAPOWER F25,178601,004812,LVAV2JBB5CN010462,TRAVESIAS,,4DW92-73 WB329211,BLANCO,2012
29,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178579,004813,LVBV5PDCXCN019878,TRAVESIAS,,YC6J19020J1DF8C00024,AMARILLO,2012
30,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178584,004814,LVBV5PDC2CN019051,TRAVESIAS,,YC6J19020J1DF8C00026,AZUL,2012
31,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178594,004815,LVBV5PDC2CN019874,TRAVESIAS,,YC6J19020J1DF8C00025,BLANCO,2012
32,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178593,004816,LVBV5PDC8CN019880,TRAVESIAS,,YC6J19020J1DF8C00031,AMARILLO,2012
33,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178595,004817,LVBV5PDC1CN019056,TRAVESIAS,,YC6J19020J1DF8C00022,AMARILLO,2012
34,BJ5122V5PDC-1,FORLAND,CAMION,INCAPOWER F130,178602,004818,LVBV5PDC3CN019057,TRAVESIAS,,YC6J19020J1DF8C00017,ROJO,2012
