,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,
,VP. CCNI ANTILLANCA   LLEGO :  27.04.09,,,,,,PEDIDO I - 2009   43 UNIDADES,,,,,
,B/L  MSCUTI212915,,,,,,,,,,,
,F/C  HW081102   25.01.09,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,VERSION,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,
,TRANSM.,,,,,,,,,,TALLER,
,,,,,,,,,,,,
37,BJ1044P4L5Y,BAW,CAMION,INCAPOWER B40,163178,11321,LHBPA1UR99N206309,,9038626,BLANCO,22.07.09,
38,BJ1044P4L5Y,BAW,CAMION,INCAPOWER B40,162546,11286,LHBPA1UR69N206302,,9038619,BLANCO,21.07.09,
39,BJ1044P4L5Y,BAW,CAMION,INCAPOWER B40,163176,11320,LHBPA1URX9N206304,,9038616,BLANCO,03.08.09,
40,BJ1030P1T4,BAW,CAMION,INCAPOWER B30,158943,11073,LHBP41TR49N206243,,Q081200072B,BLANCO,22.07.09,
41,BJ1030P1T4,BAW,CAMION,INCAPOWER B30,160435,11179,LHBP41TR29N206239,,Q081200069B,BLANCO,24.07.09,
42,BJ1030P1T4,BAW,CAMION,INCAPOWER B30,166384,11700,LHBP41TR19N206250,,Q081200070B,BLANCO,40046,
43,BJ1030P1T4,BAW,CAMION,INCAPOWER B30,166369,11701,LHBP41TR69N206244,,Q081200066B,BLANCO,03.08.09,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,
,VP. CCNI ARICA LLEGO :  09.05.09,,,,,,PEDIDO II - 2009   24 UNIDADES,,,,,
,B/L  MSCUHA872996,,,,,,,,,,,
,F/C FT09010   22.03.09,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,
,MODELO,,,,,,,,,,TALLER,
,,,,,,,,,,,,
1,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,138741,9562,LVAV3JA2X9N036305,,Q090207941D,BLANCO,19.06.09,
2,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,142489,9925,LVAV3JA299N036764,,Q090207939D,BLANCO,02.07.09,
3,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,166344,11693,LVAV3JA209N036765,,Q090207949D,BLANCO,21.08.09,
4,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,152377,10705,LVAV3JA229N036766,,Q090207940D,BLANCO,09.07.09,
5,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,152360,10706,LVAV3JA249N036767,,Q090207947D,BLANCO,09.07.09,
6,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,152361,10707,LVAV3JA269N036768,,Q090207937D,BLANCO,18.07.09,
7,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,152353,10708,LVAV3JA289N036769,,Q090207946D,BLANCO,18.07.09,
8,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,160294,11155,LVAV3JA249N036770,,Q090207943D,BLANCO,17.07.09,
9,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,160338,7007,LVAV3JA269N036771,,Q090207942D,BLANCO,18.07.09,
10,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,160335,11153,LVAV3JA289N036772,,Q090207948D,BLANCO,18.07.09,
11,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,166336,11692,LVAV3JA2X9N036773,,Q090207938D,BLANCO,24.08.09,
12,1028V3JA2-00ZA01,FOTON,CAMION,INCAPOWER F15,166389,11691,LVAV3JA219N036774,,Q090207944D,BLANCO,24.08.09,
13,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,138752,9561,LVAV3JA369N036150,,Q090207926D,BLANCO,19.06.09,
14,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,151488,10629,LVAV3JA359N036690,,Q090207927D,BLANCO,06.07.09,
15,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,152343,10702,LVAV3JA379N036691,,Q090207928D,BLANCO,17.07.09,
16,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,163177,11319,LVAV3JA399N036692,,Q090207930D,BLANCO,24.07.09,
17,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,142438,9921,LVAV3JA309N036693,,Q090207932D,BLANCO,02.07.09,
18,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,142437,9926,LVAV3JA329N036694,,Q090207934D,BLANCO,02.07.09,
19,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,3106,7007,LVAV3JA349N036695,,Q090207936D,BLANCO,09.07.09,
20,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,152356,10704,LVAV3JA369N036696,,Q0070601136D,BLANCO,09.07.09,
21,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,160393,11152,LVAV3JA389N036697,,Q090207933D,BLANCO,17.07.09,
22,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,160308,11151,LVAV3JA3X9N036698,,Q0070601164D,BLANCO,17.07.09,
23,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,166361,11695,LVAV3JA319N036699,,Q090207925D,BLANCO,21.08.09,
24,1020V3JA3-00ZA01,FOTON,CAMION,INCAPOWER F20,166347,11694,LVAV3JA3X9N036717,,Q0070601153D,BLANCO,21.08.09,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,
,VP. DS ACCURACY  LLEGO :  11.10.09,,,,,,PEDIDO 003- 09   57 UNIDADES  -  BAW,,,,,
,B/L  TSNCAL0908096,,,,,,,,,,,
,F/C HW090508   25.08.09,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,
,MODELO,,,,,,,,,,TALLER,
,,,,,,,,,,,,
1,BJ1044P4L5Y,BAW,CAMION,B40,239964,16399,LHBPA1UR39N219511,,9121805,BLANCO,16.10.09,
2,BJ1044P4L5Y,BAW,CAMION,B40,239906,16400,LHBPA1UR59N219512,,9121802,BLANCO,15.10.09,
3,BJ1044P4L5Y,BAW,CAMION,B40,239953,16401,LHBPA1UR79N219513,,9121800,BLANCO,,
4,BJ1044P4L5Y,BAW,CAMION,B40,239958,16402,LHBPA1UR99N219514,,9121797,BLANCO,20.10.09,
5,BJ1044P4L5Y,BAW,CAMION,B40,239963,16403,LHBPA1UR09N219515,,9121794,BLANCO,20.10.09,
6,BJ1044P4L5Y,BAW,CAMION,B40,239965,16404,LHBPA1UR29N219516,,9121799,BLANCO,16.10.09,
7,BJ1044P4L5Y,BAW,CAMION,B40,239971,16405,LHBPA1UR49N219517,,9121801,BLANCO,15.10.09,
8,BJ1044P4L5Y,BAW,CAMION,B40,239969,16406,LHBPA1UR69N219518,,9121803,BLANCO,20.10.09,
9,BJ1044P4L5Y,BAW,CAMION,B40,239967,16407,LHBPA1UR89N219519,,9121796,BLANCO,15.10.09,
10,BJ1044P4L5Y,BAW,CAMION,B40,239976,16408,LHBPA1UR49N219520,,9121798,BLANCO,15.10.09,
11,BJ1044P4L5Y,BAW,CAMION,B40,239974,16409,LHBPA1UR69N219521,,9121795,BLANCO,16.10.09,
12,BJ1044P4L5Y,BAW,CAMION,B40,239970,16410,LHBPA1UR89N219522,,9121804,BLANCO,20.10.09,
13,BJ1065P6L6Y,BAW,CAMION,B50,239987,16411,LHBPD1US79N219523,,9047483,BLANCO,16.10.09,
14,BJ1065P6L6Y,BAW,CAMION,B50,239991,16412,LHBPD1US99N219524,,9047485,BLANCO,15.10.09,
15,BJ1065P6L6Y,BAW,CAMION,B50,239979,16413,LHBPD1US09N219525,,9048960,BLANCO,19.10.09,
16,BJ1065P6L6Y,BAW,CAMION,B50,239993,16414,LHBPD1US29N219526,,9047480,BLANCO,,
17,BJ1065P6L6Y,BAW,CAMION,B50,239980,16415,LHBPD1US49N219527,,9047478,BLANCO,19.10.09,
18,BJ1065P6L6Y,BAW,CAMION,B50,240002,16416,LHBPD1US69N219528,,9047484,BLANCO,16.10.09,
19,BJ1065P6L6Y,BAW,CAMION,B50,240010,16417,LHBPD1US89N219529,,9048995,BLANCO,22.10.09,
20,BJ1065P6L6Y,BAW,CAMION,B50,239909,16418,LHBPD1US49N219530,,9047482,BLANCO,23.10.09,
21,BJ1065P6L6Y,BAW,CAMION,B50,240029,16419,LHBPD1US69N219531,,9048966,BLANCO,,
22,BJ1065P6L6Y,BAW,CAMION,B50,240024,16420,LHBPD1US89N219532,,9048978,BLANCO,23.10.09,
23,BJ1065P6L6Y,BAW,CAMION,B50,240018,16421,LHBPD1USX9N219533,,9048986,BLANCO,20.10.09,
24,BJ1065P6L6Y,BAW,CAMION,B50,240032,16422,LHBPD1US19N219534,,9120978,BLANCO,,
25,BJ1086P8L8Y,BAW,CAMION,B60,240019,16423,LHBPF1US19N219544,,9122092,BLANCO,14.10.09,
26,BJ1086P8L8Y,BAW,CAMION,B60,240040,16424,LHBPF1US39N219545,,9122090,BLANCO,19.10.09,
27,BJ1086P8L8Y,BAW,CAMION,B60,240026,16425,LHBPF1US59N219546,,9122089,BLANCO,19.10.09,
28,BJ1086P8L8Y,BAW,CAMION,B60,240047,16426,LHBPF1US79N219547,,9122088,BLANCO,20.10.09,
29,BJ1086P8L8Y,BAW,CAMION,B60,240053,16427,LHBPF1US99N219548,,9122091,BLANCO,20.10.09,
30,BJ1086P8L8Y,BAW,CAMION,B60,240051,16428,LHBPF1US09N219549,,9122093,BLANCO,19.10.09,
31,BJ1086P8L8Y,BAW,CAMION,B60,240061,16429,LHBPF1US79N219550,,9124209,BLANCO,16.10.09,
32,BJ1086P8L8Y,BAW,CAMION,B60,240065,16430,LHBPF1US99N219551,,9124210,BLANCO,16.10.09,
33,BJ1086P8L8Y,BAW,CAMION,B60,240057,16431,LHBPF1US09N219552,,9122094,BLANCO,20.10.09,
34,BJ1086P8L8Y,BAW,CAMION,B60,240055,16432,LHBPF1US29N219553,,9124211,BLANCO,19.10.09,
35,BJ1086P8L8Y,BAW,CAMION,B60,240069,16433,LHBPF1US49N219554,,9122095,BLANCO,20.10.09,
36,BJ1086P8L8Y,BAW,CAMION,B60,240068,16434,LHBPF1US69N219555,,9124212,BLANCO,15.10.09,
37,BJ1021MT42,BAW,PICK UP,DC42,240078,16435,LHBM3HTE09N408184,,F3406900202,ROJO,16.10.09,
38,BJ1021MT42,BAW,PICK UP,DC42,240090,16436,LHBM3HTE29N408185,,F3406900186,ROJO,16.10.09,
39,BJ1021MT42,BAW,PICK UP,DC42,240085,16437,LHBM3HTE49N408186,,F3406900200,NEGRO,16.10.09,
40,BJ1021MT42,BAW,PICK UP,DC42,240097,16438,LHBM3HTE69N408187,,F3406900284,NEGRO,16.10.09,
41,BJ1021MT42,BAW,PICK UP,DC42,240083,16439,LHBM3HTE89N408188,,F3406900281,PLATA,16.10.09,
42,BJ1021MT42,BAW,PICK UP,DC42,239919,16440,LHBM3HTEX9N408189,,F3406900282,PLATA,16.10.09,
43,BJ1021MT42,BAW,PICK UP,DC42,240094,16441,LHBM3HTE69N408190,,F3406900283,PLATA,16.10.09,
44,BJ1021MT42,BAW,PICK UP,DC42,240100,16442,LHBM3HTE89N408191,,F3406900184,VERDE,16.10.09,
45,BJ1021MT42,BAW,PICK UP,DC42,240147,16443,LHBM3HTE79N408196,,F3406800340,VERDE,16.10.09,
46,BJ1030P1T4,BAW,CAMION,B30,240110,16444,LHBP41TR49N219588,,Q090802131B,BLANCO,22.10.09,
47,BJ1030P1T4,BAW,CAMION,B30,240118,16445,LHBP41TR69N219589,,Q090802315B,BLANCO,19.10.09,
48,BJ1030P1T4,BAW,CAMION,B30,240142,16446,LHBP41TR29N219590,,Q090802133B,BLANCO,23.10.09,
49,BJ1030P1T4,BAW,CAMION,B30,240126,16447,LHBP41TR49N219591,,Q090802130B,BLANCO,20.10.09,
50,BJ1030P1T4,BAW,CAMION,B30,240107,16448,LHBP41TR69N219592,,Q090802998B,BLANCO,22.10.09,
51,BJ1030P1T4,BAW,CAMION,B30,240134,16449,LHBP41TR89N219593,,Q090802126B,BLANCO,23.10.09,
52,BJ1030P1T4,BAW,CAMION,B30,240113,16450,LHBP41TRX9N219594,,Q090802137B,BLANCO,,
53,BJ1030P1T4,BAW,CAMION,B30,240115,16451,LHBP41TR19N219595,,Q090802138B,BLANCO,19.10.09,
54,BJ1030P1T4,BAW,CAMION,B30,240129,16452,LHBP41TR39N219596,,Q090802129B,BLANCO,20.10.09,
55,BJ1030P1T4,BAW,CAMION,B30,240179,16453,LHBP41TR59N219597,,Q090802140B,BLANCO,23.10.09,
56,BJ1030P1T4,BAW,CAMION,B30,240138,16454,LHBP41TR79N219598,,Q090802127B,BLANCO,23.10.09,
57,BJ1030P1T4,BAW,CAMION,B30,240130,16455,LHBP41TR99N219599,,Q090802136B,BLANCO,23.10.09,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,
,VP. DS ACCURACY  LLEGO :  09.05.09,,,,,,PEDIDO 004- 09   20 UNIDADES  -  BAW,,,,,
,B/L  TSNCAL0908095,,,,,,,,,,,
,F/C FT09010   22.03.09,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,
,MODELO,,,,,,,,,,TALLER,
,,,,,,,,,,,,
1,BJ6520XBT2,BAW,KOMBI,INCAPOWER TURISMO,239341,15971,LPBMBDTE99N505795,,F340D900046,BLANCO,14.10.09,
2,BJ6520XBT2,BAW,KOMBI,INCAPOWER TURISMO,239421,16380,LPBMBDTE09N505796,,F340D900049,BLANCO,16.10.09,
3,BJ6520XBT2,BAW,KOMBI,INCAPOWER TURISMO,239422,16381,LPBMBDTE69N505799,,F340D900075,BLANCO,14.10.09,
4,BJ6520XBT2,BAW,KOMBI,INCAPOWER TURISMO,239368,16382,LPBMBDTE99N505800,,F340D900064,BLANCO,13.10.09,
5,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239369,16383,LPBMBDTE29N505797,,F340D900053,BLANCO,14.10.09,
6,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239424,16384,LPBMBDTE49N505798,,F340D900052,BLANCO,14.10.09,
7,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239380,16385,LPBMBDTE89N505805,,F340D900058,BLANCO,17.10.09,
8,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239375,16386,LPBMBDTEX9N505806,,F340D900051,BLANCO,17.10.09,
9,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239381,16387,LPBMBDTE19N505807,,F340D900048,BLANCO,16.10.09,
10,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239376,16388,LPBMBDTE39N505808,,F340D900042,BLANCO,14.10.09,
11,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239385,16389,LPBMBDTE59N505809,,F340D900047,BLANCO,14.10.09,
12,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239382,16390,LPBMBDTE19N505810,,F340D900066,BLANCO,13.10.09,
13,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239392,16391,LPBMBDTE39N505811,,F340D900061,BLANCO,14.10.09,
14,BJ6520XBT3,BAW,KOMBI,INCAPOWER COMMUTER,239394,16392,LPBMBDTE59N505812,,F340D900072,BLANCO,14.10.09,
15,BJ5030XXY613,BAW,KOMBI,INCAPOWER CARGOVAN,239390,16393,LPBMBDTE09N505801,,F340D900077,BLANCO,14.10.09,
16,BJ5030XXY613,BAW,KOMBI,INCAPOWER CARGOVAN,239429,16394,LPBMBDTE29N505802,,F340D900063,BLANCO,19.10.09,
17,BJ5030XXY613,BAW,KOMBI,INCAPOWER CARGOVAN,239397,16395,LPBMBDTE49N505803,,F340D900074,BLANCO,14.10.09,
18,BJ5030XXY613,BAW,KOMBI,INCAPOWER CARGOVAN,239410,16396,LPBMBDTE69N505804,,F340D900054,BLANCO,13.10.09,
19,BJ5030XXY613,BAW,KOMBI,INCAPOWER CARGOVAN,239412,16397,LPBMBDTE79N505813,,F340D900062,BLANCO,14.10.09,
20,BJ5030XXY613,BAW,KOMBI,INCAPOWER CARGOVAN,239405,16398,LPBMBDTE99N505814,,F340D900068,BLANCO,19.10.09,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,
,VP. CMA CGM AUCKLAND   LLEGO :  22.10.09,,,,,,PEDIDO 005- 09   38 UNIDADES  -  FORLAND,,,,,
,B/L  CSX/CAL-09090246,,,,,,,,,,,
,F/C FT09165PE,04.09.09,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,
,MODELO,,,,,,,,,,TALLER,
,,,,,,,,,,,,
1,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252550,16735,LVAV3JA379N044743,,Q090807415D,BLANCO,,
2,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252561,17110,LVAV3JA399N044744,,Q090102257D,BLANCO,,
3,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252572,17111,LVAV3JA309N044745,,Q090206066D,BLANCO,,
4,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252583,17112,LVAV3JA329N044746,,Q090302727D,BLANCO,28.10.09,
5,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252599,17113,LVAV3JA349N044747,,Q090206070D,BLANCO,,
6,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252607,17114,LVAV3JA369N044748,,Q090206091D,BLANCO,28.10.09,
7,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252551,17115,LVAV3JA389N044749,,Q090206097D,BLANCO,,
8,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252563,17116,LVAV3JA349N044750,,Q090206064D,BLANCO,28.10.09,
9,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252571,17117,LVAV3JA369N044751,,Q090207929D,BLANCO,,
10,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252585,17118,LVAV3JA389N044752,,Q090206098D,BLANCO,28.10.09,
11,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252595,17119,LVAV3JA3X9N044753,,Q090302728D,BLANCO,,
12,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252608,17120,LVAV3JA319N044754,,Q090102254D,BLANCO,28.10.09,
13,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252615,17121,LVAV3JA339N044755,,Q090206089D,BLANCO,28.10.09,
14,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252622,17122,LVAV3JA359N044756,,Q090206055D,BLANCO,27.10.09,
15,BJ1020V3JA3,forland,CAMION,INCAPOWER F20,252629,17123,LVAV3JA379N044757,,Q090302729D,BLANCO,,
