,CDO. MODELO,MARCA,VERSION,SPEC,TRANSMISION,MODELO,POLIZA,# ORD.,CHASIS,MOTOR,COLOR,FAB,MOD,FC,Lugar,,,,
13,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004856,3SZ DEE9391,PLATA,2014,2014,,INDONESIA,,,,
14,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004859,3SZ DEF1992,BEIGE,2014,2014,,INDONESIA,,,,
15,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004863,3SZ DEE9389,GRIS,2014,2014,,INDONESIA,,,,
16,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004864,3SZ DEF2072,BLANCO,2014,2014,,INDONESIA,,,,
17,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004867,3SZ DEF2887,NEGRO,2014,2014,,INDONESIA,,,,
18,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004872,3SZ DEF4663,MARRON PARDO,2014,2014,,INDONESIA,,,,
19,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004874,3SZ DEF0850,GRIS,2014,2014,,INDONESIA,,,,
20,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004877,3SZ DEE6835,PLATA,2014,2014,,INDONESIA,,,,
21,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004880,3SZ DEF4666,BEIGE,2014,2014,,INDONESIA,,,,
22,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004881,3SZ DEF8160,BLANCO,2014,2014,,INDONESIA,,,,
23,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004884,3SZ DEF9330,NEGRO,2014,2014,,INDONESIA,,,,
24,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004889,3SZ DEF8162,MARRON PARDO,2014,2014,,INDONESIA,,,,
1,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001148,3SZ DEF8158,NEGRO,2014,2014,,INDONESIA,,,,
2,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001150,3SZ DEF4661,MARRON PARDO,2014,2014,,INDONESIA,,,,
3,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001152,3SZ DEG0049,PLATA,2014,2014,,INDONESIA,,,,
4,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001153,3SZ DEG1096,NEGRO,2014,2014,,INDONESIA,,,,
5,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001154,3SZ DEG1099,GRIS,2014,2014,,INDONESIA,,,,
6,F700LG-GQGF,Daihatsu,LUXURY,LUXURY,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004892,3SZ DEG0052,GRIS,2014,2014,,INDONESIA,,,,
2,J210LG-GQDF2,Daihatsu,SAFETY,TYH05,AUTOMATICA,TERIOS SAFETY,76519,002552,JDAJ210G0E3007003,3SZ 2860787,PLATA,2014,2014,24.01.14,JAPON,,,,
3,J210LG-GQDF2,Daihatsu,SAFETY,TYH05,AUTOMATICA,TERIOS SAFETY,76550,002553,JDAJ210G0E3007007,3SZ 2860817,GRIS,2014,2014,24.01.14,JAPON,,,,
4,J210LG-GMDF2,Daihatsu,SAFETY,TYG05,MECANICA,TERIOS SAFETY,76734,002554,JDAJ210G0E3006980,3SZ 2860539,BLANCO,2014,2014,24.01.14,JAPON,,,,
5,J210LG-GMDF2,Daihatsu,SAFETY,TYG05,MECANICA,TERIOS SAFETY,76552,002555,JDAJ210G0E3006983,3SZ 2860776,GRIS,2014,2014,24.01.14,JAPON,,,,
6,J210LG-GMDF2,Daihatsu,SAFETY,TYG05,MECANICA,TERIOS SAFETY,76561,002556,JDAJ210G0E3006991,3SZ 2861124,GUINDA,2014,2014,24.01.14,JAPON,,,,
7,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,76571,002557,JDAJ200G0E3005440,3SZ 2854644,MARRON BRONCE,2014,2014,24.01.14,JAPON,,,,
8,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,76627,002558,JDAJ200G0E3005470,3SZ 2858587,PLATA,2014,2014,24.01.14,JAPON,,,,
9,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,76631,002559,JDAJ200G0E3005486,3SZ 2858754,GRIS,2014,2014,24.01.14,JAPON,,,,
10,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,76637,002560,JDAJ200G0E3005519,3SZ 2861441,BEIGE,2014,2014,24.01.14,JAPON,,,,
11,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,76630,002561,JDAJ200G0E3005464,3SZ 2861057,NEGRO,2014,2014,24.01.14,JAPON,,,,
12,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,76638,002562,JDAJ200G0E3005478,3SZ 2861378,NEGRO,2014,2014,24.01.14,JAPON,,,,
13,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,76641,002563,JDAJ200G0E3005491,3SZ 2861181,MARRON BRONCE,2014,2014,24.01.14,JAPON,,,,
14,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,76634,002564,JDAJ200G0E3005505,3SZ 2861638,BLANCO,2014,2014,24.01.14,JAPON,,,,
15,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,76639,002565,JDAJ200G0E3005508,3SZ 2861635,MARRON BRONCE,2014,2014,24.01.14,JAPON,,,,
16,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,76644,002566,JDAJ200G0E3005498,3SZ 2861512,BLANCO,2014,2014,24.01.14,JAPON,,,,
2,J210LG-GMDF2,Daihatsu,SAFETY,TYH05,MECANICA,TERIOS SAFETY,95485,003532,JDAJ210G0E3007050,3SZ 2862445,NEGRO,2014,2014,,JAPON,,,,
3,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,95489,003533,JDAJ200G0E3005510,3SZ 2860730,BEIGE,2014,2014,,JAPON,,,,
4,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,95490,003534,JDAJ200G0E3005532,3SZ 2861409,BLANCO,2014,2014,,JAPON,,,,
5,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,95496,003535,JDAJ200G0E3005547,3SZ 2856169,NEGRO,2014,2014,,JAPON,,,,
6,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,95501,003536,JDAJ200G0E3005556,3SZ 2856106,GUINDA,2014,2014,,JAPON,,,,
7,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95494,003537,JDAJ200G0E3005521,3SZ 2861804,BEIGE,2014,2014,,JAPON,,,,
8,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95499,003538,JDAJ200G0E3005529,3SZ 2861806,GUINDA,2014,2014,,JAPON,,,,
9,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95505,003539,JDAJ200G0E3005541,3SZ 2859745,GUINDA,2014,2014,,JAPON,,,,
10,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95498,003540,JDAJ200G0E3005542,3SZ 2859797,BEIGE,2014,2014,,JAPON,,,,
11,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95504,003541,JDAJ200G0E3005555,3SZ 2862083,BEIGE,2014,2014,,JAPON,,,,
12,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95511,003542,JDAJ200G0E3005561,3SZ 2861418,PLATA,2014,2014,,JAPON,,,,
13,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95503,003543,JDAJ200G0E3005565,3SZ 2861461,PLATA,2014,2014,,JAPON,,,,
14,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95512,003544,JDAJ200G0E3005574,3SZ 2861967,GRIS,2014,2014,,JAPON,,,,
15,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95506,003545,JDAJ200G0E3005585,3SZ 2862528,GRIS,2014,2014,,JAPON,,,,
16,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,95515,003546,JDAJ200G0E3005583,3SZ 2862288,GRIS,2014,2014,,JAPON,,,,
1,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,,,JDAJ200G0E3005660,3SZ 2863202,MARRON BRONCE,2014,2014,21.02.14,JAPON,,,,
2,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,,,JDAJ200G0E3005672,3SZ 2863286,GUINDA,2014,2014,21.02.14,JAPON,,,,
3,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,,,JDAJ200G0E3005680,3SZ 2863315,GRIS,2014,2014,21.02.14,JAPON,,,,
4,J200LG-GMDF2,Daihatsu,ALLOY,TYE07,MECANICA,TERIOS ALLOY,,,JDAJ200G0E3005691,3SZ 2864184,BEIGE,2014,2014,21.02.14,JAPON,,,,
5,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,,,JDAJ200G0E3005649,3SZ 2861589,MARRON BRONCE,2014,2014,21.02.14,JAPON,,,,
6,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,,,JDAJ200G0E3005653,3SZ 2861672,GUINDA,2014,2014,21.02.14,JAPON,,,,
7,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,,,JDAJ200G0E3005661,3SZ 2861770,BEIGE,2014,2014,21.02.14,JAPON,,,,
8,J200LG-GQDF2,Daihatsu,BASIC,TYF07,AUTOMATICA,TERIOS BASIC,,,JDAJ200G0E3005666,3SZ 2861851,NEGRO,2014,2014,21.02.14,JAPON,,,,
1,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001155,3SZ DEG0046,NEGRO,2014,2014,,INDONESIA,,,,
2,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001156,3SZ DEG2796,PLATA,2014,2014,,INDONESIA,,,,
3,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001158,3SZ DEG4209,GRIS,2014,2014,,INDONESIA,,,,
4,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001160,3SZ DEG7629,MARRON PARDO,2014,2014,,INDONESIA,,,,
5,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004905,3SZ DEF5266,GRIS,2014,2014,,INDONESIA,,,,
6,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004906,3SZ DEF8877,MARRON PARDO,2014,2014,,INDONESIA,,,,
7,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG LUXURY,,,MHKG2CP40EK004907,3SZ DEF3886,PLATA,2014,2014,,INDONESIA,,,,
