,CDO. MODELO,MARCA,VERSION,SPEC,TRANSMISION,MODELO,POLIZA,# ORD.,CHASIS,MOTOR,COLOR,FAB,MOD,FC,Lugar,,,,
27,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77239,002787,LCR6U3124EX608472,LJ474Q3E2 D12413784,ROJO,2014,2014,14.01.14,CHINA,,,,
28,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77242,002788,LCR6U3126EX608473,LJ474Q3E2 D12413760,ROJO,2014,2014,14.01.14,CHINA,,,,
29,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77235,002789,LCR6U3126EX608425,LJ474Q3E2 D12413715,ROJO,2014,2014,14.01.14,CHINA,,,,
30,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77256,002790,LCR6U3124EX608469,LJ474Q3E2 D12413748,ROJO,2014,2014,14.01.14,CHINA,,,,
31,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77263,002791,LCR6U3125EX608433,LJ474Q3E2 D12413719,ROJO,2014,2014,14.01.14,CHINA,,,,
32,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77269,002792,LCR6U312XEX608413,LJ474Q3E2 D12413742,ROJO,2014,2014,14.01.14,CHINA,,,,
33,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77260,002793,LCR6U3129EX608421,LJ474Q3E2 D12413770,ROJO,2014,2014,14.01.14,CHINA,,,,
34,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77267,002794,LCR6U3129EX608399,LJ474Q3E2 D12413827,ROJO,2014,2014,14.01.14,CHINA,,,,
35,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77272,002795,LCR6U3122EX608423,LJ474Q3E2 D12413809,ROJO,2014,2014,14.01.14,CHINA,,,,
36,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77261,002796,LCR6U3129EX608418,LJ474Q3E2 D06540053,PLATA,2014,2014,14.01.14,CHINA,,,,
37,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77268,002797,LCR6U312XEX608427,LJ474Q3E2 D06540068,PLATA,2014,2014,14.01.14,CHINA,,,,
38,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77271,002798,LCR6U3126EX608389,LJ474Q3E2 D06540071,PLATA,2014,2014,14.01.14,CHINA,,,,
39,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77290,002799,LCR6U3127EX608403,LJ474Q3E2 D06540064,PLATA,2014,2014,14.01.14,CHINA,,,,
40,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77244,002800,LCR6U3126EX608442,LJ474Q3E2 D12413828,PLATA,2014,2014,14.01.14,CHINA,,,,
41,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77249,002801,LCR6U3126EX608408,LJ474Q3E2 D06540072,BLANCO,2014,2014,14.01.14,CHINA,,,,
42,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77253,002802,LCR6U3128EX608409,LJ474Q3E2 D06540070,BLANCO,2014,2014,14.01.14,CHINA,,,,
43,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77245,002803,LCR6U3123EX608396,LJ474Q3E2 D06540041,BLANCO,2014,2014,14.01.14,CHINA,,,,
44,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77250,002804,LCR6U3128EX608457,LJ474Q3E2 D06540034,BLANCO,2014,2014,14.01.14,CHINA,,,,
45,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77255,002805,LCR6U3129EX608404,LJ474Q3E2 D06540076,BLANCO,2014,2014,14.01.14,CHINA,,,,
46,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77246,002806,LCR6U3125EX608416,LJ474Q3E2 D06540074,BLANCO,2014,2014,14.01.14,CHINA,,,,
47,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77252,002807,LCR6U3121EX608395,LJ474Q3E2 D06540049,BLANCO,2014,2014,14.01.14,CHINA,,,,
48,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77257,002808,LCR6U3129EX608385,LJ474Q3E2 D06540040,BLANCO,2014,2014,14.01.14,CHINA,,,,
49,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77247,002809,LCR6U312XEX608394,LJ474Q3E2 D06540044,BLANCO,2014,2014,14.01.14,CHINA,,,,
50,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77248,002810,LCR6U3127EX608398,LJ474Q3E2 D06540059,BLANCO,2014,2014,14.01.14,CHINA,,,,
1,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77058,002811,LCR6U3121EX608431,LJ474Q3E2 D12413740,BEIGE,2014,2014,14.01.14,CHINA,,,,
2,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77069,002812,LCR6U3125EX608478,LJ474Q3E2 D12413744,BEIGE,2014,2014,14.01.14,CHINA,,,,
3,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77081,002813,LCR6U3127EX608448,LJ474Q3E2 D12413861,BEIGE,2014,2014,14.01.14,CHINA,,,,
4,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77090,002814,LCR6U3128EX608443,LJ474Q3E2 D12413749,BEIGE,2014,2014,14.01.14,CHINA,,,,
5,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77178,002815,LCR6U3123EX608446,LJ474Q3E2 D12413724,BEIGE,2014,2014,14.01.14,CHINA,,,,
6,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77070,002816,LCR6U3120EX608453,LJ474Q3E2 D12413745,BEIGE,2014,2014,14.01.14,CHINA,,,,
7,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77180,002817,LCR6U3128EX608474,LJ474Q3E2 D12413837,BEIGE,2014,2014,14.01.14,CHINA,,,,
8,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77183,002818,LCR6U312XEX608430,LJ474Q3E2 D12413725,AZUL,2014,2014,14.01.14,CHINA,,,,
9,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77189,002819,LCR6U3120EX608386,LJ474Q3E2 D12413739,AZUL,2014,2014,14.01.14,CHINA,,,,
10,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77185,002820,LCR6U3128EX608426,LJ474Q3E2 D12413844,AZUL,2014,2014,14.01.14,CHINA,,,,
11,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77093,002821,LCR6U3129EX608466,LJ474Q3E2 D12413845,AZUL,2014,2014,14.01.14,CHINA,,,,
12,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77099,002822,LCR6U3128EX608460,LJ474Q3E2 D12413786,AZUL,2014,2014,14.01.14,CHINA,,,,
13,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77105,002823,LCR6U3123EX608429,LJ474Q3E2 D12413803,AZUL,2014,2014,14.01.14,CHINA,,,,
14,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77107,002824,LCR6U3120EX608419,LJ474Q3E2 D12413779,AZUL,2014,2014,14.01.14,CHINA,,,,
15,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77111,002825,LCR6U3123EX608415,LJ474Q3E2 D12413859,AZUL,2014,2014,14.01.14,CHINA,,,,
16,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77106,002826,LCR6U3126EX608439,LJ474Q3E2 D12413732,AZUL,2014,2014,14.01.14,CHINA,,,,
17,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77187,002827,LCR6U3124EX608438,LJ474Q3E2 D12413730,AZUL,2014,2014,14.01.14,CHINA,,,,
18,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77108,002828,LCR6U3122EX608471,LJ474Q3E2 D12413723,AZUL,2014,2014,14.01.14,CHINA,,,,
19,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77109,002829,LCR6U3121EX608462,LJ474Q3E2 D12413762,AZUL,2014,2014,14.01.14,CHINA,,,,
20,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77137,002830,LCR6U3124EX608441,LJ474Q3E2 D12413751,AZUL,2014,2014,14.01.14,CHINA,,,,
21,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77145,002831,LCR6U312XEX608444,LJ474Q3E2 D12413823,AZUL,2014,2014,14.01.14,CHINA,,,,
22,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77151,002832,LCR6U3120EX608405,LJ474Q3E2 D12413811,AZUL,2014,2014,14.01.14,CHINA,,,,
23,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77136,002833,LCR6U3127EX608434,LJ474Q3E2 D12413816,AZUL,2014,2014,14.01.14,CHINA,,,,
24,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77144,002834,LCR6U3122EX608454,LJ474Q3E2 D12413761,ROJO,2014,2014,14.01.14,CHINA,,,,
25,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77150,002835,LCR6U3123EX608432,LJ474Q3E2 D12413812,ROJO,2014,2014,14.01.14,CHINA,,,,
26,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77138,002836,LCR6U312XEX608461,LJ474Q3E2 D12413822,ROJO,2014,2014,14.01.14,CHINA,,,,
27,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77147,002837,LCR6U3122EX608440,LJ474Q3E2 D12413817,ROJO,2014,2014,14.01.14,CHINA,,,,
28,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77152,002838,LCR6U3122EX608437,LJ474Q3E2 D12413782,ROJO,2014,2014,14.01.14,CHINA,,,,
29,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77139,002839,LCR6U3128EX608393,LJ474Q3E2 D12413805,ROJO,2014,2014,14.01.14,CHINA,,,,
30,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77192,002840,LCR6U3127EX608465,LJ474Q3E2 D12413775,ROJO,2014,2014,14.01.14,CHINA,,,,
31,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77155,002841,LCR6U3121EX608459,LJ474Q3E2 D12413790,ROJO,2014,2014,14.01.14,CHINA,,,,
32,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77160,002842,LCR6U3125EX608383,LJ474Q3E2 D12413804,ROJO,2014,2014,14.01.14,CHINA,,,,
33,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77156,002843,LCR6U3124EX608410,LJ474Q3E2 D12413777,ROJO,2014,2014,14.01.14,CHINA,,,,
34,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77161,002844,LCR6U3122EX608406,LJ474Q3E2 D12413821,PLATA,2014,2014,14.01.14,CHINA,,,,
35,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77165,002845,LCR6U3121EX608445,LJ474Q3E2 D12413810,PLATA,2014,2014,14.01.14,CHINA,,,,
36,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77157,002846,LCR6U3125EX608447,LJ474Q3E2 D06540030,PLATA,2014,2014,14.01.14,CHINA,,,,
37,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77162,002847,LCR6U3125EX608450,LJ474Q3E2 D06540033,PLATA,2014,2014,14.01.14,CHINA,,,,
38,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77167,002848,LCR6U3129EX608452,LJ474Q3E2 D12413813,PLATA,2014,2014,14.01.14,CHINA,,,,
39,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77158,002849,LCR6U3126EX608392,LJ474Q3E2 D06540056,BLANCO,2014,2014,14.01.14,CHINA,,,,
40,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77169,002850,LCR6U3124EX608388,LJ474Q3E2 D06540043,BLANCO,2014,2014,14.01.14,CHINA,,,,
41,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77174,002851,LCR6U3122EX608390,LJ474Q3E2 D06540054,BLANCO,2014,2014,14.01.14,CHINA,,,,
42,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77171,002852,LCR6U3127EX608384,LJ474Q3E2 D06540032,BLANCO,2014,2014,14.01.14,CHINA,,,,
43,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77182,002853,LCR6U3122EX608387,LJ474Q3E2 D06540061,BLANCO,2014,2014,14.01.14,CHINA,,,,
44,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77177,002854,LCR6U3123EX608382,LJ474Q3E2 D06540075,BLANCO,2014,2014,14.01.14,CHINA,,,,
45,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77184,002855,LCR6U3121EX608414,LJ474Q3E2 D06540057,BLANCO,2014,2014,14.01.14,CHINA,,,,
46,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77172,002856,LCR6U3125EX608397,LJ474Q3E2 D06540037,BLANCO,2014,2014,14.01.14,CHINA,,,,
47,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77181,002857,LCR6U3128EX608412,LJ474Q3E2 D06540055,BLANCO,2014,2014,14.01.14,CHINA,,,,
48,GA6380SE4/SDF-85,GONOW,,MULTIPROPOSITO,,INCAPOWER SUPERVAN,77186,002858,LCR6U3127EX608451,LJ474Q3E2 D06540060,BLANCO,2014,2014,14.01.14,CHINA,,,,
1,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100531,,LHBPA1SD4EN205053,4D22E Q130903508Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
2,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100555,,LHBPA1SD8EN205038,4D22E Q130903512Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
3,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100576,,LHBPA1SD6EN205054,4D22E Q130903499Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
4,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100543,,LHBPA1SD1EN205074,4D22E Q130903521Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
5,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100566,,LHBPA1SD7EN205063,4D22E Q130903510Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
6,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100584,,LHBPA1SD3EN205075,4D22E Q130903509Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
7,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100547,,LHBPA1SD8EN205055,4D22E Q130903502Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
8,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100570,,LHBPA1SD6EN205037,4D22E Q130903500Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
9,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100590,,LHBPA1SDXEN205042,4D22E Q130903517Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
10,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100556,,LHBPA1SD6EN205040,4D22E Q130903519Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
11,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100578,,LHBPA1SDXEN205056,4D22E Q130903504Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
12,BJ1040P1S31,BAW,,BARANDA,,INCAPOWER B20,100593,,LHBPA1SDXEN205039,4D22E Q130903503Z,BLANCO,2014,2014,15.01.14,CHINA,,,,
1,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74787,002861,LVBDLPHD4EN029975,YC6J19020J1DM1D00118,AZUL,2014,2014,19.01.14,CHINA,,,,
2,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74795,002862,LVBDLPHD6EN029976,YC6J19020J1DM1D00117,ROJO,2014,2014,19.01.14,CHINA,,,,
3,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74804,002863,LVBDLPHD8EN029977,YC6J19020J1DM1D00115,ROJO,2014,2014,19.01.14,CHINA,,,,
4,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74788,002864,LVBDLPHDXEN029978,YC6J19020J1DM1D00114,ROJO,2014,2014,19.01.14,CHINA,,,,
5,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74790,002865,LVBDLPHD1EN029979,YC6J19020J1DM1D00113,BLANCO,2014,2014,19.01.14,CHINA,,,,
6,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74800,002866,LVBDLPHD8EN029980,YC6J19020J1DM1D00116,BLANCO,2014,2014,19.01.14,CHINA,,,,
7,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74796,002867,LVBDLPHDXEN029981,YC6J19020J1DM1D00092,BLANCO,2014,2014,19.01.14,CHINA,,,,
8,BJ3102V4PDB-A3,FORLAND,,VOLQUETE,,INCAPOWER FD130,74805,002868,LVBDLPHD1EN029982,YC6J19020J1DM1D00091,BLANCO,2014,2014,19.01.14,CHINA,,,,
1,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61511,002301,LVBVCJD66EN010238,BJ493ZLQ1 D43931,BLANCO,2014,2014,11.01.14,CHINA,,,,
2,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61517,002302,LVBVCJD62EN010236,BJ493ZLQ1 D43936,BLANCO,2014,2014,11.01.14,CHINA,,,,
3,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61531,002303,LVBVCJD6XEN010243,BJ493ZLQ1 D43933,BLANCO,2014,2014,11.01.14,CHINA,,,,
4,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61512,002304,LVBVCJD65EN010246,BJ493ZLQ1 D36985,BLANCO,2014,2014,11.01.14,CHINA,,,,
5,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61519,002305,LVBVCJD67EN010250,BJ493ZLQ1 D38625,AZUL,2014,2014,11.01.14,CHINA,,,,
6,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61513,002306,LVBVCJD68EN010239,BJ493ZLQ1 D43938,BLANCO,2014,2014,11.01.14,CHINA,,,,
7,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61524,002307,LVBVCJD66EN010241,BJ493ZLQ1 D43930,BLANCO,2014,2014,11.01.14,CHINA,,,,
8,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61537,002308,LVBVCJD64EN010237,BJ493ZLQ1 D43934,BLANCO,2014,2014,11.01.14,CHINA,,,,
9,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61515,002309,LVBVCJD61EN010244,BJ493ZLQ1 D36982,BLANCO,2014,2014,11.01.14,CHINA,,,,
10,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61525,002310,LVBVCJD67EN010247,BJ493ZLQ1 D43937,BLANCO,2014,2014,11.01.14,CHINA,,,,
11,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61538,002311,LVBVCJD64EN010240,BJ493ZLQ1 D43935,BLANCO,2014,2014,11.01.14,CHINA,,,,
12,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61548,002312,LVBVCJD69EN010251,BJ493ZLQ1 D36987,ROJO,2014,2014,11.01.14,CHINA,,,,
13,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61528,002313,LVBVCJD63EN010245,BJ493ZLQ1 D36978,BLANCO,2014,2014,11.01.14,CHINA,,,,
14,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61539,002314,LVBVCJD60EN010249,BJ493ZLQ1 D36986,ROJO,2014,2014,11.01.14,CHINA,,,,
15,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61550,002315,LVBVCJD68EN010242,BJ493ZLQ1 D43932,BLANCO,2014,2014,11.01.14,CHINA,,,,
16,BJ1059VCJD6-3,FORLAND,,BARANDA,,INCAPOWER F45,61526,002316,LVBVCJD69EN010248,BJ493ZLQ1 D38628,ROJO,2014,2014,11.01.14,CHINA,,,,
17,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61536,002317,LVBV9JD3XEN010229,BJ493ZQ D43824,BLANCO,2014,2014,11.01.14,CHINA,,,,
18,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61543,002318,LVBV9JD33EN010220,BJ493ZQ D43838,BLANCO,2014,2014,11.01.14,CHINA,,,,
19,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61533,002319,LVBV9JD39EN010223,BJ493ZQ D43830,BLANCO,2014,2014,11.01.14,CHINA,,,,
20,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61535,002320,LVBV9JD38EN010231,BJ493ZQ D43820,BLANCO,2014,2014,11.01.14,CHINA,,,,
21,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61545,002321,LVBV9JD30EN010224,BJ493ZQ D43825,BLANCO,2014,2014,11.01.14,CHINA,,,,
22,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61558,002322,LVBV9JD32EN010225,BJ493ZQ D43836,BLANCO,2014,2014,11.01.14,CHINA,,,,
23,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61541,002323,LVBV9JD38EN010228,BJ493ZQ D43821,BLANCO,2014,2014,11.01.14,CHINA,,,,
24,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61556,002324,LVBV9JD31EN010233,BJ493ZQ D43834,ROJO,2014,2014,11.01.14,CHINA,,,,
25,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61564,002325,LVBV9JD33EN010234,BJ493ZQ D43822,ROJO,2014,2014,11.01.14,CHINA,,,,
26,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61547,002326,LVBV9JD35EN010221,BJ493ZQ D43832,BLANCO,2014,2014,11.01.14,CHINA,,,,
27,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61559,002327,LVBV9JD36EN010230,BJ493ZQ D43828,BLANCO,2014,2014,11.01.14,CHINA,,,,
28,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61568,002328,LVBV9JD3XEN010232,BJ493ZQ D43826,BLANCO,2014,2014,11.01.14,CHINA,,,,
29,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61555,002329,LVBV9JD35EN010235,BJ493ZQ D21902,BLANCO,2014,2014,11.01.14,CHINA,,,,
30,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61557,002330,LVBV9JD36EN010227,BJ493ZQ D43831,BLANCO,2014,2014,11.01.14,CHINA,,,,
31,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61561,002331,LVBV9JD37EN010222,BJ493ZQ D43819,BLANCO,2014,2014,11.01.14,CHINA,,,,
32,BJ1039V4JD3-A-DR I,FORLAND,,BARANDA,,INCAPOWER F35,61569,002332,LVBV9JD34EN010226,BJ493ZQ D43827,BLANCO,2014,2014,11.01.14,CHINA,,,,
