,Modelo,Chasis,Color,Fab
,COMMUTER,LPBMBDTE9FJ505203,PLATA,2014
,COMMUTER,LPBMBDTE2FJ505205,BLANCO,2014
,COMMUTER,LPBMBDTE7FJ505202,PLATA,2014
